date,day_of_week,is_weekend,is_salary_period,event,weather
2026-01-01,Thursday,0,1,Public_Holiday,Cool
2026-01-02,Friday,0,1,,Cool
2026-01-03,Saturday,1,1,,Cool
2026-01-04,Sunday,1,0,,Cool
2026-01-05,Monday,0,0,,Cool
2026-01-06,Tuesday,0,0,,Cool
2026-01-07,Wednesday,0,0,,Cool
2026-01-08,Thursday,0,0,,Cool
2026-01-09,Friday,0,0,,Cool
2026-01-10,Saturday,1,0,,Cool
2026-01-11,Sunday,1,0,,Cool
2026-01-12,Monday,0,0,,Cool
2026-01-13,Tuesday,0,0,Pongal,Cool
2026-01-14,Wednesday,0,0,Pongal,Cool
2026-01-15,Thursday,0,0,Pongal,Cool
2026-01-16,Friday,0,0,Pongal,Cool
2026-01-17,Saturday,1,0,,Cool
2026-01-18,Sunday,1,0,,Cool
2026-01-19,Monday,0,0,,Cool
2026-01-20,Tuesday,0,0,,Cool
2026-01-21,Wednesday,0,0,,Cool
2026-01-22,Thursday,0,0,,Cool
2026-01-23,Friday,0,0,,Cool
2026-01-24,Saturday,1,0,,Cool
2026-01-25,Sunday,1,0,,Cool
2026-01-26,Monday,0,0,Public_Holiday,Cool
2026-01-27,Tuesday,0,0,,Cool
2026-01-28,Wednesday,0,1,,Cool
2026-01-29,Thursday,0,1,,Cool
2026-01-30,Friday,0,1,,Cool
2026-01-31,Saturday,1,1,,Cool
2026-02-01,Sunday,1,1,,Cool
2026-02-02,Monday,0,1,,Cool
2026-02-03,Tuesday,0,1,,Cool
2026-02-04,Wednesday,0,0,,Cool
2026-02-05,Thursday,0,0,,Cool
2026-02-06,Friday,0,0,,Cool
2026-02-07,Saturday,1,0,,Cool
2026-02-08,Sunday,1,0,,Cool
2026-02-09,Monday,0,0,,Cool
2026-02-10,Tuesday,0,0,,Cool
2026-02-11,Wednesday,0,0,,Cool
2026-02-12,Thursday,0,0,,Cool
2026-02-13,Friday,0,0,,Cool
2026-02-14,Saturday,1,0,,Cool
2026-02-15,Sunday,1,0,,Cool
2026-02-16,Monday,0,0,,Cool
2026-02-17,Tuesday,0,0,,Cool
2026-02-18,Wednesday,0,0,,Cool
2026-02-19,Thursday,0,0,,Cool
2026-02-20,Friday,0,0,,Cool
2026-02-21,Saturday,1,0,,Cool
2026-02-22,Sunday,1,0,,Cool
2026-02-23,Monday,0,0,,Cool
2026-02-24,Tuesday,0,0,,Cool
2026-02-25,Wednesday,0,0,,Cool
2026-02-26,Thursday,0,0,,Cool
2026-02-27,Friday,0,0,,Cool
2026-02-28,Saturday,1,1,,Cool
2026-03-01,Sunday,1,1,,Hot
2026-03-02,Monday,0,1,,Hot
2026-03-03,Tuesday,0,1,,Hot
2026-03-04,Wednesday,0,0,,Hot
2026-03-05,Thursday,0,0,,Hot
2026-03-06,Friday,0,0,,Hot
2026-03-07,Saturday,1,0,,Hot
2026-03-08,Sunday,1,0,,Hot
2026-03-09,Monday,0,0,,Hot
2026-03-10,Tuesday,0,0,,Hot
2026-03-11,Wednesday,0,0,,Hot
2026-03-12,Thursday,0,0,,Hot
2026-03-13,Friday,0,0,,Hot
2026-03-14,Saturday,1,0,,Hot
2026-03-15,Sunday,1,0,,Hot
2026-03-16,Monday,0,0,,Hot
2026-03-17,Tuesday,0,0,,Hot
