product_id,date,trend_component,seasonality_component,event_component,is_outlier_flag,is_stockout_flag,is_missing_flag
P01,2026-01-01,0.6014,1.0129,0.8756,0,0,0
P01,2026-01-02,0.6039,1.0205,0.9824,0,0,0
P01,2026-01-03,0.6038,1.1554,0.9824,0,0,0
P01,2026-01-04,0.6051,1.0659,0.9824,0,0,0
P01,2026-01-05,0.603,0.924,0.9824,0,0,0
P01,2026-01-06,0.6028,0.935,0.9824,0,0,0
P01,2026-01-07,0.6066,0.9701,0.9824,0,0,0
P01,2026-01-08,0.6099,1.0129,0.9824,0,0,0
P01,2026-01-09,0.6103,1.0205,0.9824,0,0,0
P01,2026-01-10,0.611,1.1554,0.9824,0,0,0
P01,2026-01-11,0.613,1.0659,0.9824,0,0,0
P01,2026-01-12,0.6165,0.924,0.9824,0,0,0
P01,2026-01-13,0.6209,0.935,1.6636,0,0,0
P01,2026-01-14,0.6223,0.9701,1.6636,0,0,0
P01,2026-01-15,0.623,1.0129,1.6636,0,0,0
P01,2026-01-16,0.624,1.0205,1.6636,0,0,0
P01,2026-01-17,0.626,1.1554,0.9824,0,0,0
P01,2026-01-18,0.6285,1.0659,0.9824,0,0,0
P01,2026-01-19,0.6284,0.924,0.9824,0,0,0
P01,2026-01-20,0.6305,0.935,0.9824,0,0,0
P01,2026-01-21,0.6303,0.9701,0.9824,0,0,0
P01,2026-01-22,0.6301,1.0129,0.9824,0,0,0
P01,2026-01-23,0.6331,1.0205,0.9824,0,0,0
P01,2026-01-24,0.6347,1.1554,0.9824,0,0,0
P01,2026-01-25,0.6379,1.0659,0.9824,0,0,0
P01,2026-01-26,0.6389,0.924,0.8756,0,0,0
P01,2026-01-27,0.6413,0.935,0.9824,0,0,0
P01,2026-01-28,0.6414,0.9701,0.9824,0,0,0
P01,2026-01-29,0.6423,1.0129,0.9824,0,0,0
P01,2026-01-30,0.6451,1.0205,0.9824,0,0,0
P01,2026-01-31,0.6461,1.1554,0.9824,0,0,0
P01,2026-02-01,0.6448,1.0659,0.9824,0,0,0
P01,2026-02-02,0.6448,0.924,0.9824,0,0,0
P01,2026-02-03,0.6441,0.935,0.9824,0,0,0
P01,2026-02-04,0.6445,0.9701,0.9824,0,0,0
P01,2026-02-05,0.6438,1.0129,0.9824,0,0,0
P01,2026-02-06,0.6451,1.0205,0.9824,0,0,0
P01,2026-02-07,0.6463,1.1554,0.9824,0,0,0
P01,2026-02-08,0.6476,1.0659,0.9824,0,0,0
P01,2026-02-09,0.6511,0.924,0.9824,0,0,0
P01,2026-02-10,0.6522,0.935,0.9824,0,0,0
