product_id,baseline_demand,weekend_factor,weekday_factors,event_multipliers,category_fallback_used,history_days_available,fast_or_slow_mover_label,data_quality_flag
P01,44.0,1.1107,"{""Monday"": 0.924, ""Tuesday"": 0.935, ""Wednesday"": 0.9701, ""Thursday"": 1.0129, ""Friday"": 1.0205, ""Saturday"": 1.1554, ""Sunday"": 1.0659}","{""event_Deepavali_Weekend"": 2.1035, ""event_Diwali"": 2.1818, ""event_Independence_Day_Weekend"": 1.4455, ""event_Local_Market"": 1.1383, ""event_Pongal"": 1.1752, ""event_Public_Holiday"": 0.8913, ""promo"": 1.4409, ""weather_Cool"": 0.9824, ""weather_Hot"": 1.0248, ""weather_Rainy"": 1.0712}",no,730,slow_mover,OUTLIERS_DETECTED
P02,75.0,1.1192,"{""Monday"": 0.9192, ""Tuesday"": 0.95, ""Wednesday"": 0.9615, ""Thursday"": 0.9798, ""Friday"": 1.0383, ""Saturday"": 1.146, ""Sunday"": 1.0925}","{""event_Deepavali_Weekend"": 1.9861, ""event_Diwali"": 2.1133, ""event_Independence_Day_Weekend"": 1.5152, ""event_Local_Market"": 1.1187, ""event_Pongal"": 1.1216, ""event_Public_Holiday"": 0.7668, ""promo"": 1.4071, ""weather_Cool"": 0.9609, ""weather_Hot"": 1.005, ""weather_Rainy"": 1.0859}",no,730,fast_mover,NORMAL
P03,36.0,1.0899,"{""Monday"": 0.9106, ""Tuesday"": 0.969, ""Wednesday"": 0.979, ""Thursday"": 0.9871, ""Friday"": 1.0526, ""Saturday"": 1.1371, ""Sunday"": 1.0428}","{""event_Deepavali_Weekend"": 2.188, ""event_Diwali"": 2.2526, ""event_Independence_Day_Weekend"": 1.4842, ""event_Local_Market"": 1.1069, ""event_Pongal"": 1.1681, ""event_Public_Holiday"": 0.6903, ""promo"": 1.4448, ""weather_Cool"": 0.9575, ""weather_Hot"": 1.0026, ""weather_Rainy"": 1.0732}",no,730,fast_mover,MISSING_RECORDS
P04,51.0,1.1201,"{""Monday"": 0.9119, ""Tuesday"": 0.9424, ""Wednesday"": 0.9739, ""Thursday"": 0.9883, ""Friday"": 1.028, ""Saturday"": 1.1456, ""Sunday"": 1.0945}","{""event_Deepavali_Weekend"": 1.9277, ""event_Diwali"": 2.0666, ""event_Independence_Day_Weekend"": 1.3967, ""event_Local_Market"": 1.1172, ""event_Pongal"": 1.1539, ""event_Public_Holiday"": 0.7042, ""promo"": 1.3905, ""weather_Cool"": 0.9627, ""weather_Hot"": 1.0126, ""weather_Rainy"": 1.0861}",no,730,fast_mover,NORMAL
P05,54.0,1.1122,"{""Monday"": 0.9115, ""Tuesday"": 0.9407, ""Wednesday"": 0.9675, ""Thursday"": 0.9838, ""Friday"": 1.0549, ""Saturday"": 1.1217, ""Sunday"": 1.1028}","{""event_Deepavali_Weekend"": 2.0765, ""event_Diwali"": 2.2255, ""event_Independence_Day_Weekend"": 1.5993, ""event_Local_Market"": 1.1466, ""event_Pongal"": 1.1901, ""event_Public_Holiday"": 0.8293, ""promo"": 1.4343, ""weather_Cool"": 0.9827, ""weather_Hot"": 1.0292, ""weather_Rainy"": 1.074}",no,730,fast_mover,NORMAL
P06,59.0,1.1201,"{""Monday"": 0.9215, ""Tuesday"": 0.9418, ""Wednesday"": 0.9418, ""Thursday"": 1.0237, ""Friday"": 1.0149, ""Saturday"": 1.1574, ""Sunday"": 1.0828}","{""event_Deepavali_Weekend"": 1.9995, ""event_Diwali"": 2.0272, ""event_Independence_Day_Weekend"": 1.3589, ""event_Local_Market"": 1.1287, ""event_Pongal"": 1.0847, ""event_Public_Holiday"": 0.7659, ""promo"": 1.3712, ""weather_Cool"": 0.9536, ""weather_Hot"": 1.0043, ""weather_Rainy"": 1.058}",no,730,fast_mover,NORMAL
P07,33.0,1.1021,"{""Monday"": 0.9212, ""Tuesday"": 0.948, ""Wednesday"": 0.9526, ""Thursday"": 0.9953, ""Friday"": 1.0583, ""Saturday"": 1.1202, ""Sunday"": 1.0841}","{""event_Deepavali_Weekend"": 1.9695, ""event_Diwali"": 2.0423, ""event_Independence_Day_Weekend"": 1.4221, ""event_Local_Market"": 1.3564, ""event_Pongal"": 1.0944, ""event_Public_Holiday"": 0.7599, ""promo"": 1.4016, ""weather_Cool"": 0.9406, ""weather_Hot"": 1.2056, ""weather_Rainy"": 0.9369}",no,730,slow_mover,NORMAL
P08,42.0,1.1328,"{""Monday"": 0.9142, ""Tuesday"": 0.9046, ""Wednesday"": 0.972, ""Thursday"": 0.9719, ""Friday"": 1.0864, ""Saturday"": 1.1902, ""Sunday"": 1.0753}","{""event_Deepavali_Weekend"": 2.2019, ""event_Diwali"": 2.126, ""event_Independence_Day_Weekend"": 1.5306, ""event_Local_Market"": 1.1719, ""event_Pongal"": 1.1964, ""event_Public_Holiday"": 0.5383, ""promo"": 1.4371, ""weather_Cool"": 0.9918, ""weather_Hot"": 1.0405, ""weather_Rainy"": 1.1138}",no,730,slow_mover,NORMAL
P09,37.0,1.0782,"{""Monday"": 0.9238, ""Tuesday"": 0.9809, ""Wednesday"": 0.9981, ""Thursday"": 0.9702, ""Friday"": 1.0318, ""Saturday"": 1.1045, ""Sunday"": 1.0518}","{""event_Deepavali_Weekend"": 1.9626, ""event_Diwali"": 2.1187, ""event_Independence_Day_Weekend"": 1.2856, ""event_Local_Market"": 1.4173, ""event_Pongal"": 1.1216, ""event_Public_Holiday"": 0.7429, ""promo"": 1.4245, ""weather_Cool"": 0.931, ""weather_Hot"": 1.2364, ""weather_Rainy"": 0.9367}",no,730,fast_mover,NORMAL
P10,49.0,1.1106,"{""Monday"": 0.9148, ""Tuesday"": 0.9402, ""Wednesday"": 0.9739, ""Thursday"": 0.9872, ""Friday"": 1.0498, ""Saturday"": 1.1479, ""Sunday"": 1.0733}","{""event_Deepavali_Weekend"": 2.015, ""event_Diwali"": 2.2172, ""event_Independence_Day_Weekend"": 1.5012, ""event_Local_Market"": 1.1771, ""event_Pongal"": 1.2074, ""event_Public_Holiday"": 1.0269, ""promo"": 1.4263, ""weather_Cool"": 0.9905, ""weather_Hot"": 1.0144, ""weather_Rainy"": 1.0759}",no,730,fast_mover,NORMAL
