product_id,date,predicted_demand,baseline_used,day_factor_used,event_multiplier_used,confidence_score,confidence_reason
P01,2028-01-01,44.5141,44.0,1.1554,0.8756,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-02,46.0742,44.0,1.0659,0.9824,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-03,39.9405,44.0,0.924,0.9824,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-04,40.4159,44.0,0.935,0.9824,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-05,41.9332,44.0,0.9701,0.9824,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-06,43.7832,44.0,1.0129,0.9824,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-07,44.1117,44.0,1.0205,0.9824,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-08,49.9429,44.0,1.1554,0.9824,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-09,46.0742,44.0,1.0659,0.9824,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-10,39.9405,44.0,0.924,0.9824,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-11,40.4159,44.0,0.935,0.9824,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-12,41.9332,44.0,0.9701,0.9824,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-13,51.454,44.0,1.0129,1.1545,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P01,2028-01-14,51.8401,44.0,1.0205,1.1545,0.9,"High confidence: sufficient history (730 days), though dampened by outliers detected in history."
P02,2028-01-01,63.3295,75.0,1.146,0.7368,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-02,78.7337,75.0,1.0925,0.9609,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-03,66.2444,75.0,0.9192,0.9609,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-04,68.4641,75.0,0.95,0.9609,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-05,69.2929,75.0,0.9615,0.9609,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-06,70.6117,75.0,0.9798,0.9609,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-07,74.8277,75.0,1.0383,0.9609,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-08,82.5894,75.0,1.146,0.9609,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-09,78.7337,75.0,1.0925,0.9609,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-10,66.2444,75.0,0.9192,0.9609,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-11,68.4641,75.0,0.95,0.9609,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-12,69.2929,75.0,0.9615,0.9609,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-13,79.1981,75.0,0.9798,1.0777,1.0,"High confidence: long, clean history with 730 days of observations."
P02,2028-01-14,83.9267,75.0,1.0383,1.0777,1.0,"High confidence: long, clean history with 730 days of observations."
P03,2028-01-01,27.0569,36.0,1.1371,0.661,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-02,35.9453,36.0,1.0428,0.9575,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-03,31.3884,36.0,0.9106,0.9575,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-04,33.4014,36.0,0.969,0.9575,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-05,33.7461,36.0,0.979,0.9575,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-06,34.0253,36.0,0.9871,0.9575,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-07,36.2831,36.0,1.0526,0.9575,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-08,39.1958,36.0,1.1371,0.9575,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-09,35.9453,36.0,1.0428,0.9575,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-10,31.3884,36.0,0.9106,0.9575,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
