product_id,fast_or_slow_mover_label,trend_direction,seasonality_strength,dominant_event_driver,overall_confidence,is_still_new_product
P01,slow_mover,growing,0.0746,Diwali,High,no
P02,fast_mover,growing,0.0767,Diwali,High,no
P03,fast_mover,growing,0.0677,Diwali,High,no
P04,fast_mover,growing,0.0772,Diwali,High,no
P05,fast_mover,growing,0.0756,Diwali,High,no
P06,fast_mover,growing,0.0795,Diwali,High,no
P07,slow_mover,growing,0.0709,Diwali,High,no
P08,slow_mover,growing,0.0967,Deepavali_Weekend,High,no
P09,fast_mover,growing,0.0549,Diwali,High,no
P10,fast_mover,growing,0.0759,Diwali,High,no
P11,fast_mover,growing,0.0714,Deepavali_Weekend,High,no
P12,fast_mover,growing,0.0906,Deepavali_Weekend,High,no
P13,fast_mover,growing,0.0952,Deepavali_Weekend,High,no
P14,slow_mover,growing,0.0807,Diwali,High,no
P15,slow_mover,growing,0.0648,Deepavali_Weekend,High,no
P16,slow_mover,growing,0.0894,Diwali,High,no
P17,slow_mover,growing,0.1015,Diwali,High,no
P18,fast_mover,growing,0.0741,Diwali,High,no
P19,fast_mover,growing,0.0709,Deepavali_Weekend,High,no
P20,fast_mover,growing,0.0921,Deepavali_Weekend,High,no
P21,fast_mover,growing,0.0748,Diwali,High,yes
P22,slow_mover,growing,0.0578,Diwali,Medium,yes
P23,slow_mover,growing,0.0688,Diwali,Medium,yes
P24,slow_mover,growing,0.0711,Diwali,Medium,yes
P25,fast_mover,flat,0.1058,Diwali,Low,yes
P26,fast_mover,flat,0.0846,Deepavali_Weekend,Low,yes
P27,slow_mover,growing,0.1423,Deepavali_Weekend,Low,yes
