date,product_id,units_sold,stock_available_end_of_day,promotion_flag,unit_price
2026-01-01,P01,24,121,0,320
2026-01-02,P01,21,75,0,320
2026-01-03,P01,29,133,0,320
2026-01-04,P01,16,50,0,320
2026-01-05,P01,18,131,0,320
2026-01-06,P01,25,36,0,320
2026-01-07,P01,15,47,0,320
2026-01-08,P01,23,122,0,320
2026-01-09,P01,20,100,0,320
2026-01-10,P01,31,90,0,320
2026-01-11,P01,20,120,0,320
2026-01-12,P01,26,138,0,320
2026-01-13,P01,28,96,1,320
2026-01-14,P01,26,68,1,320
2026-01-15,P01,25,24,1,320
2026-01-16,P01,41,74,1,320
2026-01-17,P01,32,79,0,320
2026-01-18,P01,27,92,0,320
2026-01-19,P01,18,44,0,320
2026-01-20,P01,26,129,0,320
2026-01-21,P01,15,25,0,320
2026-01-22,P01,19,85,0,320
2026-01-23,P01,34,130,0,320
2026-01-24,P01,50,67,0,320
2026-01-25,P01,23,59,0,320
2026-01-26,P01,31,61,0,320
2026-01-27,P01,28,129,0,320
2026-01-28,P01,25,139,0,320
2026-01-29,P01,29,93,0,320
2026-01-30,P01,29,121,0,320
2026-01-31,P01,40,79,0,320
2026-02-01,P01,29,76,0,320
2026-02-02,P01,25,50,0,320
2026-02-03,P01,30,48,0,320
2026-02-04,P01,18,40,0,320
2026-02-05,P01,37,59,0,320
2026-02-06,P01,32,60,0,320
2026-02-07,P01,34,102,0,320
2026-02-08,P01,39,77,0,320
2026-02-09,P01,18,52,0,320
2026-02-10,P01,30,74,0,320
2026-02-11,P01,32,114,0,320
2026-02-12,P01,30,54,0,320
2026-02-13,P01,30,44,0,320
2026-02-14,P01,38,45,0,320
2026-02-15,P01,33,130,0,320
2026-02-16,P01,24,100,0,320
2026-02-17,P01,27,120,0,320
2026-02-18,P01,21,104,0,320
2026-02-19,P01,26,82,0,320
2026-02-20,P01,35,117,0,320
2026-02-21,P01,39,113,0,320
2026-02-22,P01,29,33,0,320
2026-02-23,P01,26,50,0,320
2026-02-24,P01,29,109,0,320
2026-02-25,P01,34,120,0,320
2026-02-26,P01,38,51,0,320
2026-02-27,P01,31,75,0,320
2026-02-28,P01,33,73,0,320
2026-03-01,P01,33,114,0,320
